winter,year,NAO_st,NAO_PC
1898,1899,0.03,-0.64
1899,1900,-2.13,-1.3
1900,1901,-0.33,-0.33
1901,1902,-1.41,-0.66
1902,1903,3.89,1.39
1903,1904,0.23,0.04
1904,1905,1.98,0.87
1905,1906,2.06,0.87
1906,1907,2.06,1.13
1907,1908,1.44,0.6
1908,1909,0,-0.46
1909,1910,2.1,0.47
1910,1911,0.29,0.51
1911,1912,0.24,-0.37
1912,1913,2.69,1.47
1913,1914,1.48,0.52
1914,1915,-0.2,-0.67
1915,1916,-0.69,-0.18
1916,1917,-3.8,-1.14
1917,1918,-0.8,0.06
1918,1919,-0.8,-0.84
1919,1920,3.18,1.63
1920,1921,1.63,0.74
1921,1922,1.85,0.64
1922,1923,1.73,0.41
1923,1924,-1.13,-0.61
1924,1925,2.39,1.13
1925,1926,0.11,-0.26
1926,1927,1.72,0.53
1927,1928,0.63,0.21
1928,1929,-1.03,-0.55
1929,1930,0.91,0.47
1930,1931,-0.16,-0.65
1931,1932,-0.5,-0.05
1932,1933,0.25,-0.05
1933,1934,0.86,1
1934,1935,0.97,0.11
1935,1936,-3.89,-1.92
1936,1937,0.72,-0.11
1937,1938,1.79,0.57
1938,1939,0.37,-0.09
1939,1940,-2.86,-1.91
1940,1941,-2.31,-1.2
1941,1942,-0.55,-1.04
1942,1943,1.48,0.66
1943,1944,0.61,0.56
1944,1945,1.64,-0.05
1945,1946,0.27,-0.23
1946,1947,-2.71,-1.82
1947,1948,1.34,0.3
1948,1949,1.87,1.06
1949,1950,1.4,0.53
1950,1951,-1.26,-0.9
1951,1952,0.83,-0.11
1952,1953,0.18,0.02
1953,1954,0.13,0.19
1954,1955,-2.52,-1.22
1955,1956,-1.73,-1.01
1956,1957,1.52,0.09
1957,1958,-1.02,-1.24
1958,1959,-0.37,0.14
1959,1960,-1.54,-1.78
1960,1961,1.8,0.78
1961,1962,-2.38,-0.89
1962,1963,-3.6,-1.25
1963,1964,-2.86,-0.82
1964,1965,-2.88,-0.78
1965,1966,-1.69,-1.53
1966,1967,1.28,0.65
1967,1968,-1.04,-0.13
1968,1969,-4.89,-2.55
1969,1970,-1.89,-1.12
1970,1971,-0.96,-0.63
1971,1972,0.34,0.16
1972,1973,2.52,1.25
1973,1974,1.23,0.42
1974,1975,1.63,0.78
1975,1976,1.37,1.27
1976,1977,-2.14,-1.31
1977,1978,0.17,-0.52
1978,1979,-2.25,-1.4
1979,1980,0.56,-0.31
1980,1981,2.05,0.32
1981,1982,0.8,-0.16
1982,1983,3.42,1.31
1983,1984,1.6,0.46
1984,1985,-0.63,-0.76
1985,1986,0.5,0.03
1986,1987,-0.75,-0.63
1987,1988,0.72,-0.13
1988,1989,5.08,2.51
1989,1990,3.96,1.98
1990,1991,1.03,0.61
1991,1992,3.28,1.8
1992,1993,2.67,1.8
1993,1994,3.03,0.9
1994,1995,3.96,1.32
1995,1996,-3.78,-1.41
1996,1997,-0.17,0.75
1997,1998,0.72,0.02
1998,1999,1.7,0.69
1999,2000,2.8,1.63
2000,2001,-1.9,-0.98
2001,2002,0.76,0.66
2002,2003,0.2,0.1
2003,2004,-0.07,-0.09
2004,2005,0.12,0.38
2005,2006,-1.09,-0.87
2006,2007,2.79,1.2
2007,2008,2.1,1.1
2008,2009,-0.41,0.07
2009,2010,-4.64,-2.55
2010,2011,-1.57,-0.65
2011,2012,3.17,1.63
2012,2013,-1.97,-1.66
